2007.01.01;Australia;AUD;New Year?s Day
2007.01.01;Canada;CAD;New Year?s Day
2007.01.01;European Union;EUR;New Year?s Day
2007.01.01;Japan;JPY;New Year?s Day
2007.01.01;New Zealand;NZD;New Year?s Day
2007.01.01;Switzerland;CHF;New Year?s Day
2007.01.01;United Kingdom;GBP;New Year?s Day
2007.01.01;United States;USD;New Year?s Day
2007.01.02;Japan;JPY;Bank holiday
2007.01.02;New Zealand;NZD;New Year?s Extra Day
2007.01.03;Japan;JPY;Bank holiday
2007.01.08;Japan;JPY;Coming of Age Day
2007.01.15;United States;USD;Martin Luther King Day
2007.01.26;Australia;AUD;National Day
2007.02.06;New Zealand;NZD;Waitangi Day
2007.02.12;Japan;JPY;National Foundation Day
2007.02.19;United States;USD;President?s Day
2007.03.21;Japan;JPY;Spring Equinox Day
2007.04.06;Australia;AUD;Good Friday
2007.04.06;Canada;CAD;Good Friday
2007.04.06;European Union;EUR;Good Friday
2007.04.06;New Zealand;NZD;Good Friday
2007.04.06;Switzerland;CHF;Good Friday
2007.04.06;United Kingdom;GBP;Good Friday
2007.04.09;Australia;AUD;Easter Monday
2007.04.09;European Union;EUR;Easter Monday
2007.04.09;New Zealand;NZD;Easter Monday
2007.04.09;Switzerland;CHF;Easter Monday
2007.04.09;United Kingdom;GBP;Easter Monday
2007.04.25;Australia;AUD;Anzac Day
2007.04.25;New Zealand;NZD;Anzac Day
2007.04.30;Japan;JPY;Day of the Nature
2007.05.03;Japan;JPY;Constitution Day
2007.05.04;Japan;JPY;Bank holiday
2007.05.05;Japan;JPY;Children?s Day
2007.05.07;United Kingdom;GBP;May Bank Holiday
2007.05.17;Switzerland;CHF;Ascension Day
2007.05.21;Canada;CAD;Victoria Day
2007.05.28;Switzerland;CHF;Whit Monday
2007.05.28;United Kingdom;GBP;Spring Bank Holiday
2007.05.28;United States;USD;Memorial Day
2007.06.04;New Zealand;NZD;Queen?s Birthday
2007.06.11;Australia;AUD;Queen?s Birthday
2007.07.02;Canada;CAD;National Day
2007.07.04;United States;USD;Independence Day
2007.07.16;Japan;JPY;Marine Day
2007.08.01;Switzerland;CHF;National Day
2007.08.06;Canada;CAD;Civic Holiday
2007.08.27;United Kingdom;GBP;Summer Bank Holiday
2007.09.03;Canada;CAD;Labour Day
2007.09.03;United States;USD;Labour Day
2007.09.17;Japan;JPY;Day of Senior Citizens
2007.09.24;Japan;JPY;Autumn Equinox Day
2007.10.08;Canada;CAD;Canadian Thanksgiving Day
2007.10.08;Japan;JPY;Health-Sports Day
2007.10.08;United States;USD;Columbus Day
2007.10.22;New Zealand;NZD;Labour Day
2007.11.03;Japan;JPY;National Culture Day
2007.11.12;Canada;CAD;Remembrance Day
2007.11.12;United States;USD;Veterans? Day
2007.11.22;United States;USD;Thanksgiving Day
2007.11.23;Japan;JPY;Labour Thanksgiving Day
2007.12.23;Japan;JPY;Birthday of the Emperor
2007.12.25;Australia;AUD;Christmas Day Holiday
2007.12.25;Canada;CAD;Christmas Day Holiday
2007.12.25;European Union;EUR;Christmas Day Holiday
2007.12.25;New Zealand;NZD;Christmas Day Holiday
2007.12.25;Switzerland;CHF;Christmas Day Holiday
2007.12.25;United Kingdom;GBP;Christmas Day Holiday
2007.12.25;United States;USD;Christmas Day Holiday
2007.12.26;Australia;AUD;Boxing Day
2007.12.26;Canada;CAD;Boxing Day
2007.12.26;New Zealand;NZD;Boxing Day
2007.12.26;United Kingdom;GBP;Boxing Day
2007.12.31;Japan;JPY;Bank holiday











 
